trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-1,-91.02229013142052,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,14,-13.060143000728303,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,-61,-308.8541649231026,"{0: 51, 1: 9, 2: 15, 3: 3, 4: 3}",0
