trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",30,0,-79.2877529438919,"{0: 22, 1: 3, 2: 1, 3: 4, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",35,12,-246.41971778997862,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 4}",1
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",30,0,-117.22520389928108,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",30,10,-28.54181061552679,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.631283645506926}",30,0,-44.868284109558076,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,0,-16.16359869304915,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",20,0,-135.39349190338248,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-165.32100994652907,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",25,0,-138.080704893512,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",30,10,-27.643205711160686,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,0,-131.0033017225909,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",20,8,-23.25134799103288,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",25,20,7.054215573924029,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,0,-7.559318877112862,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",20,4,-50.458315494036725,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",25,0,-79.51810656167655,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",20,0,-187.37641612685937,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",20,0,-24.52034147189195,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,0,-35.15936243683859,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",30,0,-21.584827179322584,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,0,-112.63770940303026,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,7,-39.228717195397415,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",25,13,-35.79810413851678,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.01, 'e': 0.522045776761016}",25,3,-93.90679688030704,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 2}",1
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",20,0,-110.11257170673326,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",25,19,11.948062633022964,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",25,13,-91.33052824154692,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 2}",1
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",20,13,14.578298850721106,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",25,12,16.79390211420749,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",25,0,-71.77080900733988,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",1
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",25,0,-37.573634274968725,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
